Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
18,Sales,Other,32,Developer,2022-11-08 08:03:05.556036,10,High School,3,57337,29,24,17,13,2,13,20,2,2.49,False
19,Customer Support,Other,36,Developer,2015-10-01 08:03:05.556036,6,Bachelor,1,39164,35,6,3,7,0,16,96,1,4.82,False
20,Finance,Male,23,Technician,2015-05-08 08:03:05.556036,9,High School,2,20854,27,23,6,12,3,24,84,1,2.43,False
21,Operations,Female,24,Manager,2022-12-19 08:03:05.556036,2,Bachelor,2,44734,28,13,6,14,0,21,40,0,2.68,False
22,Sales,Male,53,Manager,2017-05-25 08:03:05.556036,13,Master,5,110020,50,23,36,4,4,21,89,4,1.96,False
23,Finance,Male,48,Specialist,2016-07-23 08:03:05.556036,13,High School,4,76286,44,24,29,11,4,11,73,1,1.5,False
24,Sales,Male,29,Consultant,2018-01-21 08:03:05.556036,4,Master,4,52396,26,17,4,5,0,15,16,2,3.17,False
25,HR,Female,20,Analyst,2018-06-23 08:03:05.556036,7,Bachelor,2,33749,33,19,11,11,1,9,39,1,4.2,False
26,Customer Support,Male,36,Specialist,2022-05-03 08:03:05.556036,15,Bachelor,5,85341,51,15,39,9,4,7,45,4,1.24,False
27,Finance,Male,42,Engineer,2021-07-12 08:03:05.556036,11,Bachelor,2,46881,46,12,12,7,0,14,12,2,2.58,False
28,Legal,Male,39,Manager,2014-11-22 08:03:05.556036,5,Master,5,77137,46,6,15,11,1,20,51,1,1.12,True
29,Engineering,Male,44,Specialist,2022-04-17 08:03:05.556036,3,Bachelor,2,53505,39,24,9,13,0,4,84,2,2.15,False
30,Finance,Male,40,Analyst,2023-06-21 08:03:05.556036,5,High School,3,45599,47,22,14,10,3,23,91,0,3.29,False
31,Customer Support,Male,35,Consultant,2018-05-14 08:03:05.556036,1,Bachelor,1,34722,22,15,3,7,2,21,77,0,3.19,False
32,Legal,Female,49,Manager,2023-06-12 08:03:05.556036,9,High School,4,95416,53,14,30,13,4,13,68,1,3.44,False
33,Customer Support,Male,42,Analyst,2024-06-13 08:03:05.556036,4,High School,4,33712,36,7,5,1,0,22,27,2,1.2,False
34,Sales,Female,51,Engineer,2021-09-11 08:03:05.556036,12,PhD,4,69603,37,8,31,6,1,26,67,3,4.29,False
35,Marketing,Male,36,Analyst,2019-05-23 08:03:05.556036,10,Master,4,57220,50,20,31,0,1,17,27,2,1.53,False
36,HR,Female,40,Engineer,2019-10-12 08:03:05.556036,16,Master,5,77383,50,5,32,14,3,25,63,4,4.65,False
37,Sales,Male,39,Consultant,2024-04-04 08:03:05.556036,10,High School,2,51451,34,18,9,0,0,14,58,0,2.53,False
38,Sales,Other,32,Consultant,2015-01-13 08:03:05.556036,7,Master,2,52374,47,5,9,4,1,4,15,0,1.13,False
39,IT,Male,18,Specialist,2022-02-03 08:03:05.556036,10,Bachelor,1,38557,40,23,0,8,1,26,40,1,1.86,False
40,HR,Female,50,Engineer,2023-04-11 08:03:05.556036,15,Bachelor,5,80077,48,10,36,14,4,6,35,5,4.7,False
41,HR,Female,41,Analyst,2020-12-25 08:03:05.556036,7,Bachelor,2,33173,36,22,9,12,1,29,24,1,4.01,True
42,Marketing,Male,52,Specialist,2021-10-31 08:03:05.556036,16,High School,4,79243,44,6,23,12,4,10,28,3,4.54,False
43,Customer Support,Male,46,Engineer,2016-08-11 08:03:05.556036,12,Bachelor,3,59384,50,19,16,11,4,16,25,0,3.28,False
44,Marketing,Female,47,Manager,2021-05-21 08:03:05.556036,11,High School,3,75777,49,15,15,6,4,20,73,3,4.18,False
45,Customer Support,Female,20,Developer,2021-03-03 08:03:05.556036,10,Master,2,49326,46,22,13,9,3,26,48,1,3.54,False
46,HR,Female,27,Specialist,2016-06-12 08:03:05.556036,3,High School,4,53083,26,18,12,14,1,17,19,0,1.81,False
47,HR,Male,33,Technician,2021-04-03 08:03:05.556036,17,Bachelor,5,30472,55,22,25,13,2,20,54,2,1.19,False
48,Operations,Male,35,Specialist,2023-11-23 08:03:05.556036,9,Bachelor,1,36923,24,9,4,8,1,29,53,0,3.1,False
49,Legal,Male,52,Specialist,2016-06-02 08:03:05.556036,5,High School,5,89324,58,19,37,3,3,16,34,3,4.45,False
50,Operations,Other,20,Developer,2020-01-24 08:03:05.556036,3,High School,4,47953,47,8,7,7,0,28,26,0,1.41,False
51,Legal,Female,27,Consultant,2019-09-13 08:03:05.556036,7,Bachelor,1,35065,46,21,1,8,2,25,32,0,3.54,False
52,HR,Male,23,Developer,2017-03-21 08:03:05.556036,2,Bachelor,2,50716,38,20,5,9,0,10,91,1,4.56,False
53,Engineering,Male,26,Consultant,2015-06-03 08:03:05.556036,3,Bachelor,3,69540,50,15,18,8,4,28,14,1,3.02,False
54,Engineering,Female,29,Technician,2015-10-24 08:03:05.556036,6,High School,2,22518,39,14,11,7,3,15,67,1,1.61,False
55,Operations,Female,52,Technician,2015-08-15 08:03:05.556036,7,High School,5,35993,44,5,34,4,4,7,98,4,2.66,True
56,Marketing,Female,44,Developer,2021-11-25 08:03:05.556036,14,Bachelor,3,59173,51,22,17,8,2,23,57,3,1.71,False
57,Customer Support,Female,33,Specialist,2016-04-17 08:03:05.556036,11,PhD,1,38977,27,7,4,10,2,7,19,0,4.97,True
58,Finance,Male,41,Developer,2019-07-21 08:03:05.556036,6,Bachelor,4,70926,40,11,29,8,1,4,74,3,2.04,False
59,IT,Other,49,Technician,2024-07-03 08:03:05.556036,6,High School,2,26531,35,21,14,3,3,13,13,1,3.98,True
60,Customer Support,Female,22,Manager,2019-09-05 08:03:05.556036,11,Bachelor,1,42570,34,20,3,3,2,5,52,0,2.76,False
61,Operations,Female,28,Consultant,2021-05-21 08:03:05.556036,12,Bachelor,1,56021,44,12,9,3,1,7,12,0,4.98,False
62,Engineering,Male,41,Specialist,2017-07-11 08:03:05.556036,8,High School,5,90855,57,19,33,14,2,25,90,3,4.44,False
63,Sales,Male,38,Manager,2018-05-23 08:03:05.556036,4,Bachelor,3,79179,29,21,21,14,4,18,65,0,1.46,False
64,Finance,Female,48,Manager,2018-01-23 08:03:05.556036,4,High School,4,94676,42,6,23,1,1,5,18,3,2.25,True
65,Sales,Female,29,Specialist,2018-11-19 08:03:05.556036,5,Bachelor,1,37905,33,19,7,14,0,12,28,1,1.62,False
66,Legal,Male,49,Technician,2024-07-16 08:03:05.556036,16,Bachelor,5,29117,36,7,25,8,1,29,33,4,4.71,False
67,Sales,Male,35,Manager,2017-01-03 08:03:05.556036,6,Master,1,59699,42,20,13,3,0,13,74,2,4.16,False
68,HR,Male,25,Consultant,2024-08-14 08:03:05.556036,7,Bachelor,2,47872,40,13,4,14,3,13,39,1,4.37,False
69,Operations,Female,43,Specialist,2016-07-21 08:03:05.556036,13,Bachelor,5,75052,47,20,31,7,1,7,55,4,1.14,False
70,Sales,Male,21,Manager,2015-11-26 08:03:05.556036,1,Master,1,48519,47,22,1,1,1,3,72,1,3.09,False
71,IT,Female,27,Developer,2023-01-13 08:03:05.556036,3,High School,1,39568,22,23,3,8,0,27,33,0,1.91,False
72,Engineering,Female,37,Analyst,2023-07-17 08:03:05.556036,16,Master,4,59238,31,13,22,8,1,9,94,2,4.24,False
73,Sales,Female,22,Developer,2023-01-08 08:03:05.556036,6,Bachelor,2,48869,30,12,9,1,3,12,82,0,2.67,False
74,Legal,Female,22,Developer,2020-01-18 08:03:05.556036,1,Bachelor,2,48568,33,6,5,10,0,15,42,1,4.27,False
75,HR,Female,20,Consultant,2024-04-29 08:03:05.556036,10,High School,3,54230,31,14,7,0,1,29,28,0,4.09,False
76,Engineering,Male,35,Consultant,2018-04-11 08:03:05.556036,14,High School,4,83382,53,23,23,3,1,14,71,4,3.58,False
77,Customer Support,Male,31,Technician,2017-05-24 08:03:05.556036,10,PhD,3,24552,28,22,12,9,2,16,83,3,3.19,False
78,Sales,Male,52,Developer,2020-10-17 08:03:05.556036,19,Master,5,80526,37,21,37,8,3,6,68,4,3.99,False
79,Legal,Male,26,Consultant,2016-02-05 08:03:05.556036,8,High School,3,68766,28,13,18,6,4,22,87,3,2.28,True
80,Customer Support,Female,29,Specialist,2019-02-20 08:03:05.556036,9,High School,1,38930,34,9,5,8,0,18,47,0,1.33,False
81,Legal,Female,47,Developer,2024-05-07 08:03:05.556036,15,Master,3,55630,36,23,16,0,3,16,65,1,4.65,False
82,Customer Support,Female,30,Specialist,2016-12-14 08:03:05.556036,8,High School,3,67313,28,13,12,7,3,19,25,0,2.04,True
83,Engineering,Male,24,Analyst,2021-06-23 08:03:05.556036,8,Bachelor,2,33360,31,12,5,3,2,29,74,2,3.76,False
84,HR,Female,39,Analyst,2016-03-23 08:03:05.556036,9,Master,3,18234,25,19,0,1,2,9,43,0,2.88,False
85,Marketing,Female,43,Specialist,2015-09-16 08:03:05.556036,9,Bachelor,2,52176,29,21,7,4,0,29,92,1,4.11,False
86,Legal,Female,45,Engineer,2015-02-11 08:03:05.556036,4,Bachelor,4,72648,30,20,28,8,3,5,63,3,2.69,False
87,Marketing,Male,28,Technician,2019-11-14 08:03:05.556036,5,PhD,3,28158,48,17,12,4,4,4,11,1,3.1,False
88,Marketing,Male,24,Technician,2019-07-05 08:03:05.556036,7,Bachelor,2,19336,40,5,10,14,1,22,47,0,4.43,False
89,Finance,Female,32,Engineer,2023-11-06 08:03:05.556036,11,Master,2,52993,43,23,11,12,0,25,36,0,2.76,False
90,Customer Support,Female,44,Manager,2018-01-19 08:03:05.556036,3,Bachelor,4,93751,50,9,22,0,2,24,57,1,2.96,False
91,Customer Support,Male,42,Consultant,2024-03-15 08:03:05.556036,10,Bachelor,3,49781,43,16,6,6,3,29,43,2,3.94,True
92,Legal,Male,36,Developer,2019-07-13 08:03:05.556036,9,Bachelor,5,38944,43,14,1,14,0,22,60,0,4.33,True
93,Finance,Male,54,Manager,2023-11-09 08:03:05.556036,3,High School,4,97302,30,17,22,8,3,11,98,3,1.74,False
94,Engineering,Male,40,Specialist,2021-04-23 08:03:05.556036,17,High School,4,78659,35,7,23,3,4,7,20,3,4.19,False
95,Operations,Male,36,Developer,2015-07-06 08:03:05.556036,2,High School,1,38103,23,15,3,2,1,7,37,1,4.73,False
96,Marketing,Female,36,Manager,2019-04-11 08:03:05.556036,13,High School,3,79561,29,17,17,6,1,8,15,3,2.7,True
97,Engineering,Male,44,Specialist,2015-04-14 08:03:05.556036,15,PhD,3,67140,38,6,15,11,2,24,53,1,1.1,False
98,Finance,Female,33,Manager,2015-12-31 08:03:05.556036,3,High School,3,76670,50,22,19,14,3,21,79,3,4.58,False
99,Sales,Male,38,Developer,2019-11-15 08:03:05.556036,13,Bachelor,2,50934,27,20,4,14,2,9,66,2,3.19,False
100,Customer Support,Other,38,Manager,2017-12-01 08:03:05.556036,15,Bachelor,3,80336,41,20,13,12,0,15,80,0,2.87,True
101,Finance,Female,41,Engineer,2017-12-29 08:03:05.556036,11,High School,2,67679,48,7,25,7,4,26,32,4,1.6,False
102,IT,Female,18,Consultant,2019-11-22 08:03:05.556036,11,High School,1,31377,24,6,3,3,0,23,88,1,1.87,True
103,IT,Male,31,Consultant,2020-01-07 08:03:05.556036,15,Bachelor,3,66152,39,7,15,10,2,12,86,3,2.99,True
104,Engineering,Male,34,Consultant,2018-01-20 08:03:05.556036,3,Bachelor,4,80233,37,21,28,7,3,7,29,1,2.52,False
105,Customer Support,Female,34,Technician,2019-05-21 08:03:05.556036,0,High School,1,12509,36,22,6,3,1,5,44,0,3.94,False
106,Customer Support,Male,52,Manager,2021-09-13 08:03:05.556036,14,Bachelor,4,96035,40,16,25,8,3,20,93,3,4.38,False
107,HR,Female,38,Developer,2020-12-17 08:03:05.556036,14,Bachelor,4,68308,31,20,26,1,1,26,61,2,4.7,False
108,Operations,Female,47,Engineer,2015-01-26 08:03:05.556036,13,Bachelor,4,69864,36,15,25,7,1,25,59,4,3.29,False
109,Sales,Male,24,Consultant,2018-08-02 08:03:05.556036,0,Bachelor,1,36450,25,6,5,0,1,17,71,0,3.01,False
110,Sales,Male,53,Consultant,2018-09-23 08:03:05.556036,18,High School,5,102371,37,18,37,8,4,8,68,5,1.94,False
111,IT,Male,41,Technician,2023-09-08 08:03:05.556036,7,Bachelor,2,20697,45,24,13,8,2,20,63,2,3.48,False
112,Finance,Male,36,Analyst,2018-11-06 08:03:05.556036,9,Bachelor,1,15722,22,22,3,14,0,24,75,0,1.18,False
113,Legal,Female,33,Technician,2017-05-07 08:03:05.556036,16,Master,4,29896,54,12,25,13,1,13,81,3,3.62,False
114,Customer Support,Male,48,Consultant,2024-06-07 08:03:05.556036,8,Bachelor,4,85285,42,21,30,2,3,11,65,4,1.99,False
115,Legal,Female,43,Specialist,2023-06-08 08:03:05.556036,4,Bachelor,2,52835,36,19,4,4,2,13,94,1,2.44,False
116,Customer Support,Female,46,Analyst,2021-04-26 08:03:05.556036,19,Bachelor,5,71096,37,15,32,7,2,23,23,2,1.18,False
117,Legal,Male,38,Manager,2021-04-30 08:03:05.556036,8,High School,5,108654,53,19,35,12,3,13,88,2,2.17,False
118,IT,Male,41,Consultant,2016-06-10 08:03:05.556036,11,PhD,4,83939,50,10,27,1,3,3,58,1,2.68,False
119,IT,Female,38,Manager,2020-01-22 08:03:05.556036,13,Bachelor,5,111322,59,11,34,13,3,5,96,3,1.52,False
120,Finance,Male,37,Specialist,2021-07-10 08:03:05.556036,11,Bachelor,3,67850,46,7,19,14,3,15,27,3,4.17,False
121,Customer Support,Male,35,Specialist,2019-03-21 08:03:05.556036,0,Bachelor,3,38724,27,16,6,13,1,20,19,1,2.31,False
122,Legal,Female,32,Technician,2019-11-27 08:03:05.556036,7,High School,1,13680,32,5,0,7,2,11,26,1,1.93,True
123,Operations,Female,35,Manager,2015-08-12 08:03:05.556036,13,Bachelor,4,96916,34,6,24,10,4,25,64,2,3.15,False
124,Finance,Male,54,Consultant,2014-11-04 08:03:05.556036,5,Bachelor,4,83075,43,8,27,8,2,25,50,2,3.9,False
125,IT,Male,44,Engineer,2020-11-03 08:03:05.556036,2,High School,3,60445,49,13,19,10,2,11,80,0,1.32,False
126,Marketing,Male,39,Developer,2015-11-10 08:03:05.556036,10,High School,1,40525,36,5,4,7,1,10,11,0,2.54,False
127,Engineering,Other,40,Consultant,2014-10-01 08:03:05.556036,13,Bachelor,2,51241,46,10,13,0,1,6,65,0,2.92,False
128,Sales,Male,36,Consultant,2022-06-16 08:03:05.556036,8,Bachelor,2,55135,40,23,10,10,1,6,59,2,2.49,False
129,Sales,Male,54,Developer,2023-06-17 08:03:05.556036,10,High School,5,79542,53,14,31,7,4,21,14,4,2.16,True
130,Sales,Other,21,Engineer,2020-05-27 08:03:05.556036,4,Bachelor,1,41582,26,24,4,6,0,19,25,1,3.87,False
131,Engineering,Male,42,Specialist,2015-04-17 08:03:05.556036,12,Master,5,89165,37,24,37,3,3,23,97,5,2.79,True
132,HR,Male,39,Technician,2023-12-17 08:03:05.556036,10,Bachelor,5,38731,36,22,35,12,5,20,72,3,4.73,False
133,Marketing,Female,48,Manager,2020-10-06 08:03:05.556036,4,High School,3,75858,28,17,16,11,1,28,78,3,2.49,False
134,Operations,Female,24,Consultant,2019-05-01 08:03:05.556036,4,High School,2,52487,42,10,4,10,3,26,27,1,1.58,False
135,Operations,Male,34,Consultant,2022-08-10 08:03:05.556036,4,Bachelor,2,46565,39,15,6,5,1,21,51,1,1.23,False
136,Sales,Male,41,Analyst,2021-10-06 08:03:05.556036,19,Bachelor,5,69413,45,19,31,3,4,26,31,5,4.61,False
137,Legal,Female,27,Analyst,2017-01-11 08:03:05.556036,5,Bachelor,2,33613,38,9,8,1,3,10,82,0,4.27,False
138,Customer Support,Male,59,Manager,2019-03-26 08:03:05.556036,7,Master,5,107095,54,20,34,4,5,29,65,3,3.24,False
139,Finance,Male,40,Technician,2018-11-01 08:03:05.556036,1,High School,2,19254,30,15,8,12,3,14,39,2,2.64,False
140,Legal,Female,36,Specialist,2022-12-21 08:03:05.556036,9,High School,1,46404,26,24,4,0,2,10,43,0,3.78,False
141,Engineering,Female,22,Analyst,2019-01-15 08:03:05.556036,9,Bachelor,2,30363,35,20,7,8,2,20,35,0,3.5,False
142,Customer Support,Male,45,Specialist,2021-03-16 08:03:05.556036,3,PhD,3,65545,33,22,14,12,3,29,43,3,3.2,False
143,Legal,Female,43,Specialist,2016-11-21 08:03:05.556036,12,Bachelor,2,49568,38,15,11,1,0,19,41,0,1.62,False
144,Customer Support,Female,30,Analyst,2017-02-19 08:03:05.556036,11,High School,3,42835,32,10,15,1,3,19,57,3,3.26,False
145,Operations,Female,25,Consultant,2023-06-03 08:03:05.556036,1,Bachelor,5,35856,24,21,0,6,2,19,13,0,4.75,False
146,Customer Support,Male,24,Consultant,2018-02-24 08:03:05.556036,7,Master,2,50804,37,11,6,4,3,28,85,2,1.82,False
147,Legal,Female,32,Engineer,2019-06-02 08:03:05.556036,0,Bachelor,1,38373,36,19,5,14,1,28,24,0,4.02,False
148,Sales,Male,49,Analyst,2016-11-10 08:03:05.556036,10,Master,3,44067,51,15,14,11,4,19,23,2,1.12,False
149,IT,Female,23,Technician,2017-08-01 08:03:05.556036,5,Master,1,17217,41,16,4,13,1,6,75,0,1.79,False
150,Finance,Female,35,Analyst,2021-03-19 08:03:05.556036,3,Bachelor,1,19540,26,10,7,13,2,19,19,0,1.11,False
151,Operations,Male,44,Consultant,2020-10-27 08:03:05.556036,13,Bachelor,4,84903,37,21,28,4,1,23,24,4,3.22,False
152,Sales,Male,31,Manager,2023-06-04 08:03:05.556036,7,Bachelor,4,90257,51,18,28,11,3,23,98,1,3.66,False
153,Marketing,Female,45,Technician,2014-09-22 08:03:05.556036,5,High School,5,33910,52,9,30,4,2,27,75,4,3.17,False
154,Customer Support,Male,27,Specialist,2017-07-14 08:03:05.556036,6,Bachelor,3,64147,29,7,13,8,2,20,52,2,1.95,False
155,Legal,Male,36,Engineer,2015-06-22 08:03:05.556036,15,Bachelor,3,58518,31,9,15,8,3,18,59,3,4.86,False
156,Customer Support,Female,18,Specialist,2023-06-28 08:03:05.556036,11,Master,1,39744,30,20,7,0,1,13,19,0,4.94,False
157,Legal,Male,31,Manager,2020-05-04 08:03:05.556036,11,Bachelor,1,44387,28,9,4,8,0,27,22,0,3.32,False
158,Operations,Female,33,Analyst,2015-07-16 08:03:05.556036,0,Bachelor,1,21458,33,7,0,7,2,3,57,1,2.55,False
159,Legal,Female,30,Technician,2015-06-21 08:03:05.556036,4,Master,1,17213,43,11,6,12,1,6,90,1,1.11,False
160,Operations,Female,54,Manager,2022-07-04 08:03:05.556036,17,Master,4,92506,41,14,29,9,1,19,37,4,1.72,True
161,Engineering,Male,25,Manager,2015-12-27 08:03:05.556036,7,Master,1,47402,30,15,1,2,1,4,63,0,4.34,False
162,HR,Male,56,Technician,2019-09-13 08:03:05.556036,14,Bachelor,5,33541,50,12,39,0,4,6,14,3,4.38,False
163,Finance,Male,35,Technician,2023-01-19 08:03:05.556036,6,Bachelor,5,35242,45,8,35,8,5,21,25,5,4.02,False
164,Legal,Male,28,Analyst,2016-11-21 08:03:05.556036,5,High School,1,17339,24,13,7,12,1,14,93,0,4.21,True
165,Engineering,Male,43,Analyst,2020-12-19 08:03:05.556036,10,High School,2,31930,32,6,11,3,2,3,70,1,2.76,True
166,Sales,Female,27,Specialist,2020-05-18 08:03:05.556036,14,High School,3,68057,37,15,20,7,0,9,93,1,3.71,False
167,Sales,Male,40,Manager,2018-06-04 08:03:05.556036,9,High School,1,94034,31,21,25,6,4,15,48,3,1.57,False
168,Legal,Male,49,Analyst,2016-11-18 08:03:05.556036,14,Bachelor,5,69487,38,15,38,1,5,20,38,2,3.81,False
169,Legal,Female,52,Specialist,2019-01-27 08:03:05.556036,12,High School,4,73499,36,13,22,10,1,8,28,3,1.16,False
170,Legal,Female,48,Technician,2019-10-22 08:03:05.556036,11,High School,5,34870,36,18,30,2,5,27,34,3,2.14,False
171,Engineering,Male,38,Manager,2023-04-09 08:03:05.556036,8,Bachelor,3,77692,51,19,17,2,1,21,37,0,4.75,False
172,Finance,Male,37,Developer,2015-03-28 08:03:05.556036,3,Bachelor,2,49051,42,19,9,10,1,29,43,2,2.86,False
173,Operations,Male,37,Developer,2020-03-30 08:03:05.556036,10,PhD,1,49332,39,6,7,7,2,6,15,1,2.27,False
174,Marketing,Female,49,Specialist,2019-09-20 08:03:05.556036,11,High School,5,89790,55,6,39,0,5,8,62,3,4.91,False
175,Customer Support,Female,23,Analyst,2024-05-05 08:03:05.556036,9,Bachelor,2,32562,29,5,13,9,2,17,81,0,1.08,False
176,Engineering,Female,45,Developer,2024-08-26 08:03:05.556036,8,Bachelor,3,59639,34,24,15,0,2,25,78,1,2.63,True
177,HR,Female,43,Consultant,2017-05-13 08:03:05.556036,8,Bachelor,2,69841,41,15,12,1,2,8,80,3,2.54,False
178,Customer Support,Male,41,Analyst,2017-08-01 08:03:05.556036,15,Bachelor,4,55429,40,13,27,9,2,9,36,1,1.21,False
179,Customer Support,Other,43,Technician,2018-02-28 08:03:05.556036,2,Bachelor,4,23092,36,13,6,13,0,22,16,1,2.62,False
180,Legal,Female,36,Manager,2016-06-25 08:03:05.556036,11,Master,2,60721,42,8,13,2,2,11,58,2,4.6,False
181,Legal,Male,26,Technician,2017-04-13 08:03:05.556036,2,Bachelor,1,16071,28,9,3,1,1,27,68,1,2.18,True
182,Legal,Male,39,Manager,2024-08-02 08:03:05.556036,8,Bachelor,2,63382,42,13,13,7,2,10,51,1,1.47,False
183,Sales,Male,39,Technician,2018-05-28 08:03:05.556036,17,Bachelor,4,30383,45,10,29,13,2,22,54,1,1.49,False
184,Customer Support,Female,51,Manager,2022-05-14 08:03:05.556036,19,Bachelor,5,109936,53,16,32,10,3,10,81,2,2.3,False
185,Finance,Female,42,Technician,2015-01-15 08:03:05.556036,3,Bachelor,5,25293,45,18,18,1,0,5,92,0,2.82,False
186,HR,Female,48,Manager,2023-07-27 08:03:05.556036,8,Bachelor,4,89868,44,10,26,12,2,23,92,1,4.19,False
187,Legal,Male,38,Engineer,2018-10-19 08:03:05.556036,6,Master,4,64692,41,9,24,9,4,5,54,2,1.62,False
188,IT,Female,28,Specialist,2022-02-15 08:03:05.556036,12,High School,2,54011,35,13,5,7,1,14,36,0,1.56,False
189,Customer Support,Female,25,Specialist,2023-07-18 08:03:05.556036,2,Bachelor,2,51842,40,17,9,12,2,12,31,1,3.04,True
190,Operations,Female,20,Consultant,2022-05-21 08:03:05.556036,5,Bachelor,1,33295,25,13,3,1,1,3,13,0,1.38,False
191,HR,Female,46,Analyst,2016-03-17 08:03:05.556036,12,Bachelor,3,57941,32,24,25,9,3,19,43,3,2.33,False
192,Engineering,Female,27,Analyst,2020-12-26 08:03:05.556036,11,Bachelor,2,32186,28,21,4,10,0,25,31,0,2.15,True
193,Finance,Male,33,Specialist,2020-01-01 08:03:05.556036,3,Bachelor,1,37413,34,19,7,10,2,6,91,0,3.64,False
194,IT,Female,23,Analyst,2021-04-10 08:03:05.556036,10,Bachelor,2,34394,39,12,13,5,3,28,12,0,2.72,False
195,IT,Female,52,Specialist,2017-07-25 08:03:05.556036,19,Master,5,92261,54,14,36,3,4,7,79,5,3.86,True
196,Legal,Female,38,Engineer,2023-03-30 08:03:05.556036,8,Master,5,80421,35,15,33,12,4,11,61,4,3.08,True
197,HR,Male,20,Technician,2022-07-30 08:03:05.556036,10,High School,1,15329,30,14,0,3,1,27,27,1,2.89,False
198,HR,Female,48,Analyst,2021-02-04 08:03:05.556036,10,Bachelor,5,69978,47,18,38,14,3,15,62,2,2.88,False
199,IT,Female,29,Developer,2019-04-08 08:03:05.556036,4,Bachelor,1,40240,31,23,4,12,2,22,39,0,1.27,False
200,Operations,Male,24,Consultant,2021-04-26 08:03:05.556036,7,Master,1,35698,43,11,5,4,0,16,10,1,3.1,True
201,Finance,Male,42,Analyst,2014-09-21 08:03:05.556036,10,Bachelor,5,69060,45,19,32,12,3,22,45,4,4.67,False
202,Operations,Female,49,Specialist,2019-05-13 08:03:05.556036,11,Bachelor,5,66605,48,11,13,6,1,16,26,3,3.36,False
203,Engineering,Male,20,Consultant,2016-03-05 08:03:05.556036,10,High School,2,51590,42,22,11,3,0,8,71,0,4.51,False
204,Customer Support,Male,33,Analyst,2020-04-09 08:03:05.556036,10,Bachelor,2,34047,36,16,8,9,1,6,35,1,1.3,False
205,HR,Female,19,Technician,2017-12-01 08:03:05.556036,10,High School,1,17523,29,5,2,0,1,11,56,0,2.76,False
206,Marketing,Male,32,Engineer,2023-08-29 08:03:05.556036,5,Bachelor,2,50073,26,13,10,11,1,10,46,1,1.18,True
207,Customer Support,Male,41,Manager,2020-11-19 08:03:05.556036,15,Master,4,94416,47,18,29,2,3,29,51,2,2.92,False
208,Sales,Female,33,Developer,2016-11-26 08:03:05.556036,2,High School,5,41288,24,20,4,3,1,22,30,1,4.16,True
209,Engineering,Male,28,Developer,2015-11-21 08:03:05.556036,6,High School,3,60141,33,15,17,10,0,22,42,0,2.85,False
